,country,date,fatal,confirmed,recovered,iso_code,continent,population,new_tests_smoothed,new_tests_smoothed_per_thousand,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Entity,Cumulative total,Cumulative total per thousand,hospital_beds_per_1000_people,occupancy,ICU-CCB_beds_per_1000_people,ventilators,fatalPerConfirmed,confirmedPer1MPopulation,fatalPer1MPopulation,year,1 person,2 persons,3 persons,4 persons,5 persons,6 persons or more,meanHouseholdSize
0,Netherlands,2020-05-17,5699,44195,167,NLD,Europe,17134873,17.486,0.26899999999999996,,508.544,43.2,18.779,11.880999999999998,48472.545,5.29,24.4,27.3,3.32,Netherlands - people tested,306460,17.885,3.32,65.4,6.4,,0.1289512388279217,2579.2429275664895,332.5965707478544,2018,38.1,32.6,11.8,12.2,3.7,1.5,2.15
1,Norway,2020-05-17,232,8249,32,NOR,Europe,5421242,,0.44799999999999995,58.07,14.462,39.7,16.820999999999998,10.813,64800.057,5.31,19.6,20.7,3.6,Norway - people tested,223045,41.143,3.6,80.7,8.0,800.0,0.028124621166201964,1521.6070413384978,42.79462160147066,2018,46.0,30.1,10.0,9.9,3.4,0.7,1.97
2,Poland,2020-05-17,925,18529,7451,POL,Europe,37846605,16.387999999999998,0.541,88.09,124.027,41.8,16.762999999999998,10.202,27216.445,5.91,23.3,33.1,6.62,Poland - samples tested,674861,17.831,6.62,,6.9,10100.0,0.049921744292730316,489.58156220353186,24.44076555876016,2018,24.1,26.1,20.2,15.3,7.7,6.7,2.768
3,Portugal,2020-05-17,1218,29036,4636,PRT,Europe,10196707,64.96,1.52,81.34,112.371,46.2,21.502,14.924,27936.896,9.85,16.3,30.0,3.39,Portugal - samples tested,674001,66.1,3.39,66.8,4.2,1400.0,0.041947926711668276,2847.5859902613656,119.4503284246571,2018,23.1,33.5,23.3,15.3,3.6,1.4,2.4760000000000004
4,Latvia,2020-05-17,19,1008,662,LVA,Europe,1886202,46.869,0.895,,31.212,43.9,19.754,14.136,25063.846,4.91,25.6,51.0,5.57,Latvia - tests performed,92751,49.173,5.57,71.1,9.7,,0.018849206349206348,534.4072374008722,10.073152292278346,2018,34.9,29.6,17.8,11.2,4.0,2.5,2.273
5,Lithuania,2020-05-17,56,1541,997,LTU,Europe,2722291,84.02,2.352,,45.135,43.5,19.002,13.778,29524.265,3.67,21.3,38.0,6.56,Lithuania - samples tested,245580,90.211,6.56,73.2,15.5,1000.0,0.036340038935756006,566.067330788663,20.570908841119483,2018,37.7,29.1,17.1,11.3,3.4,1.3,2.1719999999999997
6,Luxembourg,2020-05-17,107,3945,3702,LUX,Europe,625976,99.29,1.575,,231.447,39.7,14.312,9.842,94277.965,4.42,20.9,26.0,4.51,Luxembourg - people tested,64018,102.269,4.66,70.7,24.8,,0.02712294043092522,6302.158549209555,170.93307091645687,2018,33.5,30.7,16.3,14.3,4.0,1.2,2.2820000000000005
7,United Kingdom,2020-05-17,34716,244995,1058,GBR,Europe,67886004,26.791,1.018,73.01,272.898,40.8,18.517,12.527,39753.244,4.28,20.0,24.7,2.54,United Kingdom - people tested,1996648,29.412,2.54,84.3,6.6,8175.0,0.14170085103777627,3608.9176791139453,511.38670645572245,2018,30.5,34.2,15.9,13.6,4.0,1.7,2.3120000000000003
8,United Kingdom,2020-05-17,34716,244995,1058,GBR,Europe,67886004,26.791,1.018,73.01,272.898,40.8,18.517,12.527,39753.244,4.28,20.0,24.7,2.54,United Kingdom - tests performed,2962227,43.635,2.54,84.3,6.6,8175.0,0.14170085103777627,3608.9176791139453,511.38670645572245,2018,30.5,34.2,15.9,13.6,4.0,1.7,2.3120000000000003
9,Slovakia,2020-05-17,28,1494,1163,SVK,Europe,5459643,26.094,0.591,78.96,113.128,41.2,15.07,9.167,30155.152,7.29,23.1,37.7,5.82,Slovakia - tests performed,148845,27.263,5.82,67.8,9.2,600.0,0.018741633199464525,273.644265751442,5.1285404558503185,2018,19.8,27.6,19.0,20.8,7.2,5.7,2.854
10,Spain,2020-05-17,27563,230698,146446,ESP,Europe,46754783,,,83.07,93.105,45.5,19.436,13.799,34272.36,7.17,27.4,31.4,2.97,Spain - tests performed,1919411,41.053,2.97,75.3,9.7,,0.11947654509358556,4934.211757543608,589.5225735514589,2018,25.5,30.4,20.9,17.7,4.1,1.4,2.487
11,Sweden,2020-05-17,3679,30143,4971,SWE,Europe,10099270,20.784000000000002,0.46299999999999997,47.35,24.718000000000004,41.0,19.985,13.433,46949.283,4.79,18.8,18.9,2.22,Sweden - people tested,209900,20.784,2.22,,5.8,570.0,0.1220515542580367,2984.671169302336,364.28375516250185,2018,42.5,31.2,11.2,10.8,3.1,1.1,2.038
12,Switzerland,2020-05-17,1881,30587,27500,CHE,Europe,8654618,40.16,0.547,71.55,214.243,43.1,18.436,12.644,57410.166,5.59,22.6,28.9,4.53,Switzerland - tests performed,355386,41.063,4.53,82.0,11.0,,0.06149671429038481,3534.1825601083724,217.34061514904528,2018,36.8,32.8,12.6,12.5,4.0,1.3,2.1799999999999997
13,Slovenia,2020-05-17,104,1466,273,SVN,Europe,2078932,33.595,0.445,63.89,102.619,44.5,19.062,12.93,31400.84,7.25,20.1,25.0,4.5,Slovenia - tests performed,71951,34.61,4.5,69.5,6.4,,0.07094133697135062,705.1697698626025,50.02568626583265,2018,29.6,27.6,18.2,18.0,4.8,1.8,2.462
14,Austria,2020-05-17,629,16242,14563,AUT,Europe,9006400,40.25,0.73,58.99,106.749,44.4,19.202,13.748,45436.686,6.35,28.4,30.9,7.37,Austria - tests performed,379592,42.147,7.37,73.8,21.8,2500.0,0.038726757788449695,1803.3842600817197,69.83922543968734,2018,37.2,30.3,14.9,11.5,4.6,1.5,2.205
15,Belgium,2020-05-17,9052,55280,14630,BEL,Europe,11589616,50.041000000000004,1.1840000000000002,,375.564,41.8,18.571,12.849,42658.576,4.29,25.1,31.4,5.64,Belgium - units unclear,585806,50.54600000000001,5.76,81.8,15.9,,0.16374819102749638,4769.787023142096,781.0439966259452,2018,34.8,31.3,14.4,12.1,5.4,2.0,2.2800000000000002
16,Hungary,2020-05-17,451,3509,1396,HUN,Europe,9660350,13.989,0.39799999999999996,59.53,108.043,43.4,18.577,11.976,26777.561,7.55,26.8,34.8,7.02,Hungary - tests performed,142729,14.775,7.02,65.5,13.8,2560.0,0.12852664576802508,363.2373568245457,46.68567909030211,2018,32.9,31.0,16.8,12.9,4.1,2.3,2.312
17,Iceland,2020-05-17,10,1802,1786,ISL,Europe,341250,166.567,1.1159999999999999,,3.404,37.3,14.431,9.207,46482.958,5.31,14.3,15.2,2.91,Iceland - samples tested,57587,168.753,3.06,,9.1,,0.005549389567147614,5280.58608058608,29.304029304029303,2018,,,,,,,
18,Denmark,2020-05-17,547,11125,9425,DNK,Europe,5792203,67.108,1.7480000000000002,79.49,136.52,42.3,19.677,12.325,46682.515,6.41,19.3,18.8,2.5,Denmark - people tested,412051,71.139,2.61,,6.7,,0.0491685393258427,1920.685445589528,94.4372978640424,2018,44.1,31.8,10.3,9.6,3.6,0.6,1.986
19,Ireland,2020-05-17,1543,24112,19470,IRL,Europe,4937796,,1.125,,69.874,38.7,13.928,8.677999999999999,67335.293,3.28,23.0,25.7,2.96,Ireland - units unclear,295626,59.87,2.96,94.9,6.5,,0.06399303251493033,4883.150296205027,312.48759568033995,2018,26.1,29.3,15.2,18.1,8.3,2.9,2.616
20,Italy,2020-05-17,31908,225435,125176,ITA,Europe,60461828,49.7,1.037,,205.859,47.9,23.021,16.24,35220.084,4.78,19.8,27.8,3.18,Italy - people tested,2038216,33.711,3.18,78.9,12.5,5324.0,0.1415396899327966,3728.5508469906003,527.7379307817157,2018,32.6,27.9,19.4,15.8,3.3,1.0,2.323
21,Italy,2020-05-17,31908,225435,125176,ITA,Europe,60461828,49.7,1.037,,205.859,47.9,23.021,16.24,35220.084,4.78,19.8,27.8,3.18,Italy - tests performed,3171719,52.458,3.18,78.9,12.5,5324.0,0.1415396899327966,3728.5508469906003,527.7379307817157,2018,32.6,27.9,19.4,15.8,3.3,1.0,2.323
22,Greece,2020-05-17,163,2834,1374,GRC,Europe,10423056,,0.413,74.34,83.479,45.3,20.396,14.524,24574.382,4.55,35.3,52.0,4.21,Greece - tests performed,139445,13.379,4.21,61.6,6.0,,0.05751587861679605,271.8972247678608,15.638407775991993,2018,25.7,29.5,19.8,17.4,5.3,2.4,2.5460000000000003
23,Estonia,2020-05-17,63,1774,938,EST,Europe,1326539,52.903999999999996,0.672,,31.033,42.7,19.452,13.491,29481.252,4.02,24.5,39.3,4.69,Estonia - tests performed,72465,54.627,4.69,70.4,14.6,,0.03551296505073281,1337.314620979858,47.49200739669169,2018,40.2,27.9,14.6,12.1,3.5,1.6,2.153
24,Germany,2020-05-17,7962,176369,154011,DEU,Europe,83783945,,,68.26,237.016,46.6,21.453000000000007,15.957,45229.245,8.31,28.2,33.1,8.0,Germany - tests performed,3147771,37.57,8.0,79.8,33.9,40000.0,0.04514398788902812,2105.045304324116,95.0301397242634,2018,41.5,34.0,12.0,9.1,2.5,0.9,1.998
25,France,2020-05-17,28111,179693,61327,FRA,Europe,65273512,,,83.46,122.578,42.0,19.718,13.079,38605.671,4.77,30.1,35.6,5.98,France - tests performed,831174,12.734000000000002,5.98,75.6,11.6,7007.0,0.1564390376920637,2752.923728081308,430.66473886068826,2018,35.8,32.8,13.3,12.6,3.9,1.5,2.2019999999999995
26,Finland,2020-05-17,298,6347,5000,FIN,Europe,5540718,27.559,0.583,,18.136,42.8,21.228,13.264,40585.721,5.76,18.3,22.6,3.28,Finland - samples tested,156206,28.192,3.28,,6.1,,0.0469513155821648,1145.519407412541,53.78364320292063,2018,43.0,33.9,10.2,8.4,3.2,1.4,1.994
